,Date,Open,High,Low,Close,Adj Close,Volume,,
25/03/2021,2,52726.74609,53392.38672,50856.57031,51704.16016,51704.16016,67999812841,,1
27/03/2021,4,55137.56641,56568.21484,54242.91016,55973.51172,55973.51172,47266542233,,1
29/03/2021,6,55947.89844,58342.09766,55139.33984,57750.19922,57750.19922,57625587027,,1
31/03/2021,8,58930.27734,59930.02734,57726.41797,58918.83203,58918.83203,65520826225,,1
02/04/2021,10,59098.87891,60267.1875,58869.28125,59384.3125,59384.3125,58727860620,,1
04/04/2021,12,57604.83984,58913.74609,57168.67578,58758.55469,58758.55469,50749662970,,1
06/04/2021,14,59171.93359,59479.57813,57646.80859,58192.35938,58192.35938,66058027988,,1
08/04/2021,16,56099.91406,58338.73828,55879.08594,58323.95313,58323.95313,53053855641,,1
10/04/2021,18,58253.77734,61276.66406,58038.70703,59793.23438,59793.23438,58238470525,,1
12/04/2021,20,60175.94531,61253.03516,59589.875,59893.45313,59893.45313,51828688519,,1
14/04/2021,22,63523.75391,64863.09766,61554.79688,63109.69531,63109.69531,77451779687,,1
16/04/2021,24,63258.50391,63594.72266,60222.53125,61572.78906,61572.78906,84293007468,,1
18/04/2021,26,60701.88672,61057.45703,52829.53516,56216.18359,56216.18359,97468872758,,1
20/04/2021,28,55681.79297,57062.14844,53448.04688,56473.03125,56473.03125,67849323955,,1
22/04/2021,30,53857.10547,55410.23047,50583.8125,51762.27344,51762.27344,74798630778,,1
24/04/2021,32,51143.22656,51167.5625,48805.28516,50050.86719,50050.86719,49014494781,,1
26/04/2021,34,49077.79297,54288.00391,48852.79688,54021.75391,54021.75391,58284039825,,1
28/04/2021,36,55036.63672,56227.20703,53887.91797,54824.70313,54824.70313,48000572955,,1
30/04/2021,38,53568.66406,57900.71875,53129.60156,57750.17578,57750.17578,52395931985,,1
02/05/2021,40,57825.86328,57902.59375,56141.90625,56631.07813,56631.07813,38177405335,,1
04/05/2021,42,57214.17969,57214.17969,53191.42578,53333.53906,53333.53906,68564706967,,1
06/05/2021,44,57441.30859,58363.31641,55382.50781,56396.51563,56396.51563,69523285106,,1
08/05/2021,46,57352.76563,59464.61328,56975.21094,58803.77734,58803.77734,65382980634,,1
10/05/2021,48,58250.87109,59519.35547,54071.45703,55859.79688,55859.79688,71776546298,,1
12/05/2021,50,56714.53125,57939.36328,49150.53516,49150.53516,49150.53516,75215403907,,1
14/05/2021,52,49682.98047,51438.11719,48868.57813,49880.53516,49880.53516,55737497453,,1
16/05/2021,54,46716.63672,49720.04297,43963.35156,46456.05859,46456.05859,64047871555,,1
18/05/2021,56,43488.05859,45812.45703,42367.83203,42909.40234,42909.40234,56187365084,,1
20/05/2021,58,36753.66797,42462.98438,35050.61719,40782.73828,40782.73828,88281943359,,1
22/05/2021,60,37371.03125,38831.05469,35383.68359,37536.63281,37536.63281,57377273240,,1
24/05/2021,62,34700.36328,39835.14063,34551.08203,38705.98047,38705.98047,67359584098,,1
26/05/2021,64,38392.625,40782.07813,37905.83594,39294.19922,39294.19922,51346735160,,1
28/05/2021,66,38507.08203,38856.96875,34779.03906,35697.60547,35697.60547,55200191952,,1
30/05/2021,68,34607.40625,36400.66797,33520.73828,35678.12891,35678.12891,31646080921,,1
01/06/2021,70,37293.79297,37896.73438,35787.08594,36684.92578,36684.92578,34639423297,,1
